지점,지점명,일시,기온(°C)
108,서울,21-1-8 6:02,-17.8
108,서울,21-1-8 6:03,-17.9
108,서울,21-1-8 6:04,-17.9
108,서울,21-1-8 6:05,-17.9
108,서울,21-1-8 6:06,-17.9
108,서울,21-1-8 6:07,-17.9
108,서울,21-1-8 6:08,-17.9
108,서울,21-1-8 6:09,-17.9
108,서울,21-1-8 6:10,-17.9
108,서울,21-1-8 6:11,-17.9
108,서울,21-1-8 6:12,-17.9
108,서울,21-1-8 6:13,-17.9
108,서울,21-1-8 6:14,-17.9
108,서울,21-1-8 6:15,-17.9
108,서울,21-1-8 6:16,-17.9
108,서울,21-1-8 6:17,-17.9
108,서울,21-1-8 6:18,-17.9
108,서울,21-1-8 6:19,-17.9
108,서울,21-1-8 6:20,-17.9
108,서울,21-1-8 6:21,-17.9
108,서울,21-1-8 6:22,-17.8
108,서울,21-1-8 6:23,-17.8
108,서울,21-1-8 6:24,-17.8
108,서울,21-1-8 6:25,-17.8
108,서울,21-1-8 6:26,-17.9
108,서울,21-1-8 6:27,-17.9
108,서울,21-1-8 6:28,-17.9
108,서울,21-1-8 6:29,-17.9
108,서울,21-1-8 6:30,-17.9
108,서울,21-1-8 6:31,-17.9
108,서울,21-1-8 6:32,-17.9
108,서울,21-1-8 6:33,-17.9
108,서울,21-1-8 6:34,-17.9
108,서울,21-1-8 6:35,-17.9
108,서울,21-1-8 6:36,-17.9
108,서울,21-1-8 6:37,-17.9
108,서울,21-1-8 6:38,-17.9
108,서울,21-1-8 6:39,-18
108,서울,21-1-8 6:40,-18
108,서울,21-1-8 6:41,-18
108,서울,21-1-8 6:42,-18
108,서울,21-1-8 6:43,-18
108,서울,21-1-8 6:44,-18
108,서울,21-1-8 6:45,-18
108,서울,21-1-8 6:46,-18
108,서울,21-1-8 6:47,-18
108,서울,21-1-8 6:48,-18
108,서울,21-1-8 6:49,-18
108,서울,21-1-8 6:50,-18
108,서울,21-1-8 6:51,-18
108,서울,21-1-8 6:52,-18
108,서울,21-1-8 6:53,-18.1
108,서울,21-1-8 6:54,-18.1
108,서울,21-1-8 6:55,-18.1
108,서울,21-1-8 6:56,-18.1
108,서울,21-1-8 6:57,-18.2
108,서울,21-1-8 6:58,-18.2
108,서울,21-1-8 6:59,-18.2
108,서울,21-1-8 7:00,-18.2
108,서울,21-1-8 7:01,-18.2
108,서울,21-1-8 7:02,-18.3
108,서울,21-1-8 7:03,-18.3
108,서울,21-1-8 7:04,-18.3
108,서울,21-1-8 7:05,-18.2
108,서울,21-1-8 7:06,-18.2
