name,시장유형,소재지도로명주소,시장개설주기,lat,long,점포수,,,,,,,
경주중심상가시장,상설장,경상북도 경주시 태종로791번길 16,매일,35.842258,129.2146805,489,,,,,,,
경주중앙시장,상설장+5일장,경상북도 경주시 금성로 295,2일+7일,35.84396049,129.206745,716,,,,,,,
북부상가시장,상설장+5일장,경상북도 경주시 금성로396번길 7,2일+7일,35.853493,129.2075801,126,,,,,,,
북정로중심상가시장,상설장,경상북도 경주시 북정로 15,매일,35.842292,129.215179,130,,,,,,,
불국사상가시장,상설장,경상북도 경주시 진현로1길 59-5,매일,35.785996,129.327853,103,,,,,,,
불국시장,상설장+5일장,경상북도 경주시 불국장터길 23-2,4일+9일,35.77599964,129.3008003,34,,,,,,,
서면시장,5일장,경상북도 경주시 서면 내서로 401-5,1일+6일,35.895063,129.048043,17,,,,,,,
안강공설시장,상설장+5일장,경상북도 경주시 안강읍 비화중로3길 26-3,4일+9일,35.990308,129.2217101,245,,,,,,,
양남시장,5일장,경상북도 경주시 양남면 하서중앙길 56-28,4일+9일,35.67537996,129.463651,92,,,,,,,
양북시장,5일장,경상북도 경주시 양북면 감은로 53-8,5일+10일,35.790411,129.441215,50,,,,,,,
제2경주중심상가시장,상설장+5일장,경상북도 경주시 원효로 89,2일+7일,35.842218,129.210661,530,,,,,,,
건천시장,상설장+5일장,경상북도 경주시 건천읍 내서로 1131-1,5일+10일,35.848301,129.104811,40,,,,,,,
고령대가야시장,5일장,경상북도 고령군 대가야읍 시장3길 29,4일+9일,35.727309,128.266673,105,,,,,,,
구미공단종합시장,상설장,경상북도 구미시 수출대로3길 107,매일,36.120636,128.371536,51,,,,,,,
구미산업유통단지,상설장,경상북도 구미시 3공단1로 302-7,매일,36.109878,128.402646,729,,,,,,,
구미새마을중앙시장,상설장+5일장,경상북도 구미시 구미중앙로9길 11,1일+6일,36.130846,128.329784,228,,,,,,,
구미종합상가,상설장,경상북도 구미시 구미중앙로9길 14-6,매일,36.130511,128.330439,60,,,,,,,
구미파크시장,상설장,경상북도 구미시 송동로 154,매일,36.14936026,128.325471,30,,,,,,,
금오시장,상설장,경상북도 구미시 금오시장로 13,매일,36.126112,128.340602,258,,,,,,,
선산봉황시장,상설장+5일장,경상북도 구미시 선산읍 단계동길 24,2일+7일,36.239519,128.300921,229,,,,,,,
신평전통시장,상설장,경상북도 구미시 칠성로6길 48,매일,36.123159,128.361146,79,,,,,,,
영암5일시장,5일장,전라남도 영암군 영암읍 오일시장길 28,10일+5일,34.801239,126.700566,125,,,,,,,
노화읍5일시장,상설장+5일장,전라남도 완도군 노화읍 이목길 62,2일+7일,34.17756009,126.573213,20,,,,,,,
완도전통시장(구 완도5일시장),상설장+5일장,전라남도 완도군 완도읍 개포로 34-1,5일+10일,34.316104,126.748246,24,,,,,,,
완도중앙시장,상설장+5일장,전라남도 완도군 완도읍 장보고대로 282-1,2일+7일,34.31446984,126.755237,15,,,,,,,
사거리시장,5일장,전라남도 장성군 북이면 사남북길 22,1일+6일,35.427679,126.807263,51,,,,,,,
사창시장,5일장,전라남도 장성군 삼계면 사창로 81-2,2일+7일,35.260399,126.663071,21,,,,,,,
황룡시장,5일장,전라남도 장성군 황룡면 삼월길 5,4일+9일,35.291685,126.7738898,81,,,,,,,
대덕읍전통시장(대덕시장),상설장+5일장,전라남도 장흥군 대덕읍 거정2길 10,5일+10일,34.499438,126.887127,24,,,,,,,
정남진장흥토요시장,상설장+5일장,전라남도 장흥군 장흥읍 토요시장1길 53,2일+7일,34.677272,126.9031396,140,,,,,,,
천관산관광시장,상설장,전라남도 장흥군 관산읍 칠관로 1559-4,매일,34.56276999,126.937079,33,,,,,,,
회진시장,5일장,전라남도 장흥군 회진면 회진중앙길 9-13,1일+6일,34.482035,126.940318,40,,,,,,,
임회면십일시장,5일장,전라남도 진도군 임회면 십일시장길 21,4일+10일,34.410989,126.192139,12,,,,,,,
진도상설시장,상설장,전라남도 진도군 진도읍 남동1길 57-8,매일,34.481354,126.264905,17,,,,,,,
진도읍조금시장,5일장,전라남도 진도군 진도읍 조금시장길 25,2일+7일,34.481479,126.256933,34,,,,,,,
나산시장,5일장,전라남도 함평군 나산면 나산길 15-10,4일+9일,35.111836,126.609847,15,,,,,,,
월야시장,5일장,전라남도 함평군 월야면 밀재로 1504-5,5일+10일,35.17926967,126.626779,21,,,,,,,
해보시장,상설장+5일장,전라남도 함평군 해보면 밀재로 1274-12,3일+8일,35.181053,126.602552,46,,,,,,,
남리5일시장,5일장,전라남도 해남군 황산면 시등로 111-11,3일+8일,34.575324,126.432484,29,,,,,,,
북평면남창5일시장,5일장,전라남도 해남군 북평면 달량진길 48-11,2일+7일,34.404536,126.626715,17,,,,,,,
송지산정5일시장,5일장,전라남도 해남군 송지면 산정1길 96,2일+7일,34.369647,126.519182,51,,,,,,,
