name,lat,long,,,,,,,,,,,
진주청과시장,35.196246,128.086685,,,,,,,,,,,
청평여울시장,37.736048,127.418127,,,,,,,,,,,
모란전통기름시장,37.430908,127.128008,,,,,,,,,,,
중부농수산물시장,37.395908,126.925615,,,,,,,,,,,
철뚝시장,35.14222041,129.061569,,,,,,,,,,,
답십리건축자재시장,37.56745985,127.053488,,,,,,,,,,,
신곡종합시장,37.518369,126.843197,,,,,,,,,,,
신정제일시장,37.520842,126.853684,,,,,,,,,,,
주암시장,35.075741,127.235263,,,,,,,,,,,
대천항종합수산물시장,36.326609,126.506108,,,,,,,,,,,
부여 새시장,36.280991,126.909648,,,,,,,,,,,
광천원동시장,36.502325,126.625011,,,,,,,,,,,
안산패션타운전통시장,37.304981,126.844665,,,,,,,,,,,
안산 다농마트 전통시장,37.328361,126.844239,,,,,,,,,,,
풍기선비골인삼시장,36.888503,128.540689,,,,,,,,,,,
고척골목시장상점가,37.503375,126.862709,,,,,,,,,,,
청계상가,37.56797977,126.995365,,,,,,,,,,,
장미제일시장,37.605174,127.076373,,,,,,,,,,,
오이도전통수산시장,37.345881,126.6882099,,,,,,,,,,,
양동쌍학시장,37.420174,127.753197,,,,,,,,,,,
청림시장,35.996577,129.410355,,,,,,,,,,,
환호그린빌시장,36.068129,129.391148,,,,,,,,,,,
삼천포전통수산시장,34.927174,128.069893,,,,,,,,,,,
석계시장,35.419573,129.063938,,,,,,,,,,,
제천고추시장,37.156434,128.175046,,,,,,,,,,,
부곡시장,36.125493,128.104445,,,,,,,,,,,
중앙시장,36.119086,128.124828,,,,,,,,,,,
모슬포중앙시장,33.222067,126.254514,,,,,,,,,,,
서귀포매일올레시장,33.250149,126.563231,,,,,,,,,,,
서귀포향토오일시장,33.267789,126.573742,,,,,,,,,,,
중문오일시장,33.250583,126.423947,,,,,,,,,,,
표선오일시장,33.322717,126.830383,,,,,,,,,,,
도남시장,33.496812,126.528404,,,,,,,,,,,
동문시장(주),33.512797,126.5283197,,,,,,,,,,,
보성시장,33.503308,126.527939,,,,,,,,,,,
세화오일시장,33.526186,126.857297,,,,,,,,,,,
신산시장,33.506036,126.54198,,,,,,,,,,,
제주동문수산시장,33.512066,126.524903,,,,,,,,,,,
제주시동문공설시장,33.512087,126.528242,,,,,,,,,,,
제주시동문재래시장,33.51159028,126.526018,,,,,,,,,,,
제주시민속오일시장,33.497247,126.474888,,,,,,,,,,,
제주시서문공설시장,33.511351,126.517906,,,,,,,,,,,
제주칠성로상점가(칠성로상점가),33.514026,126.526115,,,,,,,,,,,
