지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2014-04-01,77
108,서울,2014-04-02,66
108,서울,2014-04-03,60
108,서울,2014-04-04,29
108,서울,2014-04-05,45
108,서울,2014-04-06,44
108,서울,2014-04-07,70
108,서울,2014-04-08,51
108,서울,2014-04-09,69
108,서울,2014-04-10,63
108,서울,2014-04-11,69
108,서울,2014-04-12,77
108,서울,2014-04-13,75
108,서울,2014-04-14,71
108,서울,2014-04-15,79
108,서울,2014-04-16,158
108,서울,2014-04-17,92
108,서울,2014-04-18,64
108,서울,2014-04-19,47
108,서울,2014-04-20,42
108,서울,2014-04-21,56
108,서울,2014-04-22,60
108,서울,2014-04-23,92
108,서울,2014-04-24,114
108,서울,2014-04-25,67
108,서울,2014-04-26,54
108,서울,2014-04-27,26
108,서울,2014-04-28,13
108,서울,2014-04-29,18
108,서울,2014-04-30,28
108,서울,2014-05-01,56
108,서울,2014-05-02,83
108,서울,2014-05-03,30
108,서울,2014-05-04,45
108,서울,2014-05-05,42
108,서울,2014-05-06,45
108,서울,2014-05-07,49
108,서울,2014-05-08,34
108,서울,2014-05-09,47
108,서울,2014-05-10,41
108,서울,2014-05-11,34
108,서울,2014-05-12,43
108,서울,2014-05-13,94
108,서울,2014-05-14,80
108,서울,2014-05-15,53
108,서울,2014-05-16,56
108,서울,2014-05-17,61
108,서울,2014-05-18,53
108,서울,2014-05-19,61
108,서울,2014-05-20,75
108,서울,2014-05-21,60
108,서울,2014-05-22,53
108,서울,2014-05-23,73
108,서울,2014-05-24,68
108,서울,2014-05-25,49
108,서울,2014-05-26,89
108,서울,2014-05-27,170
108,서울,2014-05-28,184
108,서울,2014-05-29,135
108,서울,2014-05-30,79
108,서울,2014-05-31,117
108,서울,2014-06-01,93
108,서울,2014-06-02,85
108,서울,2014-06-03,25
108,서울,2014-06-04,21
108,서울,2014-06-05,18
108,서울,2014-06-06,28
108,서울,2014-06-07,37
108,서울,2014-06-08,32
108,서울,2014-06-09,42
108,서울,2014-06-10,35
108,서울,2014-06-13,53
108,서울,2014-06-14,41
108,서울,2014-06-15,42
108,서울,2014-06-16,39
108,서울,2014-06-17,77
108,서울,2014-06-18,60
108,서울,2014-06-19,50
108,서울,2014-06-20,52
108,서울,2014-06-21,23
108,서울,2014-06-22,22
108,서울,2014-06-24,37
108,서울,2014-06-25,52
108,서울,2014-06-26,45
108,서울,2014-06-27,34
108,서울,2014-06-28,38
108,서울,2014-06-29,33
108,서울,2014-06-30,37
108,서울,2014-07-01,44
108,서울,2014-07-02,78
108,서울,2014-07-03,22
108,서울,2014-07-04,19
108,서울,2014-07-05,32
108,서울,2014-07-06,26
108,서울,2014-07-07,38
108,서울,2014-07-08,29
108,서울,2014-07-09,22
108,서울,2014-07-10,35
108,서울,2014-07-11,63
108,서울,2014-07-12,77
108,서울,2014-07-13,56
108,서울,2014-07-14,81
108,서울,2014-07-15,91
108,서울,2014-07-16,51
108,서울,2014-07-17,23
108,서울,2014-07-18,18
108,서울,2014-07-19,46
108,서울,2014-07-20,58
108,서울,2014-07-21,52
108,서울,2014-07-22,19
108,서울,2014-07-23,19
108,서울,2014-07-24,12
108,서울,2014-07-25,17
108,서울,2014-07-26,36
108,서울,2014-07-27,81
108,서울,2014-07-28,61
108,서울,2014-07-29,40
108,서울,2014-07-30,28
108,서울,2014-07-31,27
108,서울,2014-08-01,17
108,서울,2014-08-02,14
108,서울,2014-08-03,10
108,서울,2014-08-04,11
108,서울,2014-08-05,51
108,서울,2014-08-06,44
108,서울,2014-08-07,45
108,서울,2014-08-08,22
108,서울,2014-08-09,20
108,서울,2014-08-10,11
108,서울,2014-08-11,26
108,서울,2014-08-12,61
108,서울,2014-08-13,70
108,서울,2014-08-14,29
108,서울,2014-08-15,33
108,서울,2014-08-16,40
108,서울,2014-08-17,32
108,서울,2014-08-20,36
108,서울,2014-08-21,20
108,서울,2014-08-22,73
108,서울,2014-08-23,79
108,서울,2014-08-24,56
108,서울,2014-08-27,10
108,서울,2014-08-28,18
108,서울,2014-08-29,26
108,서울,2014-08-31,25
108,서울,2014-09-01,31
108,서울,2014-09-02,19
108,서울,2014-09-03,7
108,서울,2014-09-04,17
108,서울,2014-09-05,27
108,서울,2014-09-06,33
108,서울,2014-09-07,46
108,서울,2014-09-08,48
108,서울,2014-09-09,64
108,서울,2014-09-10,27
108,서울,2014-09-11,35
108,서울,2014-09-12,36
108,서울,2014-09-13,20
108,서울,2014-09-14,15
108,서울,2014-09-15,37
108,서울,2014-09-16,35
108,서울,2014-09-17,49
108,서울,2014-09-18,23
108,서울,2014-09-19,29
108,서울,2014-09-20,31
108,서울,2014-09-21,31
108,서울,2014-09-22,27
108,서울,2014-09-23,22
108,서울,2014-09-24,16
108,서울,2014-09-25,23
108,서울,2014-09-26,27
108,서울,2014-09-27,32
108,서울,2014-09-28,41
108,서울,2014-09-29,42
108,서울,2014-09-30,21
108,서울,2014-10-01,24
108,서울,2014-10-02,32
108,서울,2014-10-03,23
108,서울,2014-10-04,20
108,서울,2014-10-05,17
108,서울,2014-10-06,20
108,서울,2014-10-07,32
108,서울,2014-10-08,36
108,서울,2014-10-09,43
108,서울,2014-10-10,41
108,서울,2014-10-11,28
108,서울,2014-10-12,31
108,서울,2014-10-13,24
108,서울,2014-10-14,25
108,서울,2014-10-15,33
108,서울,2014-10-16,39
108,서울,2014-10-17,33
108,서울,2014-10-18,40
108,서울,2014-10-19,56
108,서울,2014-10-20,27
108,서울,2014-10-21,13
108,서울,2014-10-22,15
108,서울,2014-10-23,31
108,서울,2014-10-24,41
108,서울,2014-10-25,48
108,서울,2014-10-26,35
108,서울,2014-10-27,45
108,서울,2014-10-28,60
108,서울,2014-10-29,58
108,서울,2014-10-30,63
108,서울,2014-10-31,45
108,서울,2014-11-01,38
108,서울,2014-11-02,58
108,서울,2014-11-03,39
108,서울,2014-11-04,30
108,서울,2014-11-05,30
108,서울,2014-11-06,56
108,서울,2014-11-07,50
108,서울,2014-11-08,58
108,서울,2014-11-09,57
108,서울,2014-11-10,54
108,서울,2014-11-11,67
108,서울,2014-11-12,44
108,서울,2014-11-13,88
108,서울,2014-11-14,31
108,서울,2014-11-15,36
108,서울,2014-11-16,44
108,서울,2014-11-17,38
108,서울,2014-11-18,38
108,서울,2014-11-19,52
108,서울,2014-11-20,60
108,서울,2014-11-21,56
108,서울,2014-11-22,47
108,서울,2014-11-23,63
108,서울,2014-11-24,67
108,서울,2014-11-25,26
108,서울,2014-11-26,29
108,서울,2014-11-27,45
108,서울,2014-11-28,25
108,서울,2014-11-29,19
108,서울,2014-11-30,13
108,서울,2014-12-01,54
108,서울,2014-12-02,102
108,서울,2014-12-03,27
108,서울,2014-12-04,50
108,서울,2014-12-05,34
108,서울,2014-12-06,38
108,서울,2014-12-07,48
108,서울,2014-12-08,44
108,서울,2014-12-09,54
108,서울,2014-12-10,47
108,서울,2014-12-11,52
108,서울,2014-12-12,42
108,서울,2014-12-13,33
108,서울,2014-12-14,35
108,서울,2014-12-15,45
108,서울,2014-12-16,35
108,서울,2014-12-17,25
108,서울,2014-12-18,31
108,서울,2014-12-19,42
108,서울,2014-12-20,33
108,서울,2014-12-21,21
108,서울,2014-12-22,33
108,서울,2014-12-23,41
108,서울,2014-12-24,56
108,서울,2014-12-25,36
108,서울,2014-12-26,42
108,서울,2014-12-27,47
108,서울,2014-12-28,53
108,서울,2014-12-29,115
108,서울,2014-12-30,113
108,서울,2014-12-31,45
108,서울,2015-01-01,79
108,서울,2015-01-02,39
108,서울,2015-01-03,39
108,서울,2015-01-04,45
108,서울,2015-01-05,76
108,서울,2015-01-06,49
108,서울,2015-01-07,44
108,서울,2015-01-08,49
108,서울,2015-01-09,46
108,서울,2015-01-10,38
108,서울,2015-01-11,48
108,서울,2015-01-12,47
108,서울,2015-01-13,49
108,서울,2015-01-14,73
108,서울,2015-01-15,67
108,서울,2015-01-16,88
108,서울,2015-01-17,39
108,서울,2015-01-18,35
108,서울,2015-01-19,66
108,서울,2015-01-20,46
108,서울,2015-01-21,56
108,서울,2015-01-22,44
108,서울,2015-01-23,41
108,서울,2015-01-24,53
108,서울,2015-01-25,56
108,서울,2015-01-26,44
108,서울,2015-01-27,53
108,서울,2015-01-28,47
108,서울,2015-01-29,48
108,서울,2015-01-30,47
108,서울,2015-01-31,46
108,서울,2015-02-01,32
108,서울,2015-02-02,49
108,서울,2015-02-03,60
108,서울,2015-02-04,83
108,서울,2015-02-05,97
108,서울,2015-02-06,56
108,서울,2015-02-07,47
108,서울,2015-02-08,128
108,서울,2015-02-09,49
108,서울,2015-02-10,109
108,서울,2015-02-11,99
108,서울,2015-02-12,47
108,서울,2015-02-13,36
108,서울,2015-02-14,58
108,서울,2015-02-15,77
108,서울,2015-02-16,41
108,서울,2015-02-17,65
108,서울,2015-02-18,62
108,서울,2015-02-19,61
108,서울,2015-02-20,49
108,서울,2015-02-21,25
108,서울,2015-02-22,273
108,서울,2015-02-23,627
108,서울,2015-02-24,117
108,서울,2015-02-25,76
108,서울,2015-02-26,39
108,서울,2015-02-27,33
108,서울,2015-02-28,43
108,서울,2015-03-01,106
108,서울,2015-03-02,97
108,서울,2015-03-03,52
108,서울,2015-03-04,52
108,서울,2015-03-05,42
108,서울,2015-03-06,44
108,서울,2015-03-07,47
108,서울,2015-03-08,84
108,서울,2015-03-09,81
108,서울,2015-03-10,43
108,서울,2015-03-11,48
108,서울,2015-03-12,38
108,서울,2015-03-13,45
108,서울,2015-03-14,38
108,서울,2015-03-15,41
108,서울,2015-03-16,96
108,서울,2015-03-17,131
108,서울,2015-03-18,67
108,서울,2015-03-19,56
108,서울,2015-03-20,109
108,서울,2015-03-21,182
108,서울,2015-03-22,146
108,서울,2015-03-23,61
108,서울,2015-03-24,46
108,서울,2015-03-25,43
108,서울,2015-03-26,46
108,서울,2015-03-27,59
108,서울,2015-03-28,45
108,서울,2015-03-29,72
108,서울,2015-03-30,162
108,서울,2015-03-31,99
108,서울,2015-04-01,21
108,서울,2015-04-02,24
108,서울,2015-04-04,15
108,서울,2015-04-05,14
108,서울,2015-04-06,61
108,서울,2015-04-07,40
108,서울,2015-04-08,30
108,서울,2015-04-09,49
108,서울,2015-04-10,56
108,서울,2015-04-11,69
108,서울,2015-04-12,45
108,서울,2015-04-13,25
108,서울,2015-04-14,18
108,서울,2015-04-15,46
108,서울,2015-04-16,80
108,서울,2015-04-17,76
108,서울,2015-04-18,60
108,서울,2015-04-19,28
108,서울,2015-04-20,14
108,서울,2015-04-21,47
108,서울,2015-04-22,75
108,서울,2015-04-23,65
108,서울,2015-04-24,73
108,서울,2015-04-25,69
108,서울,2015-04-26,57
108,서울,2015-04-27,64
108,서울,2015-04-28,45
108,서울,2015-04-29,41
108,서울,2015-04-30,28
108,서울,2015-05-01,39
108,서울,2015-05-02,38
108,서울,2015-05-03,25
108,서울,2015-05-04,57
108,서울,2015-05-05,41
108,서울,2015-05-06,48
108,서울,2015-05-07,43
108,서울,2015-05-08,53
108,서울,2015-05-09,41
108,서울,2015-05-10,39
108,서울,2015-05-11,40
108,서울,2015-05-12,38
108,서울,2015-05-13,68
108,서울,2015-05-14,57
108,서울,2015-05-15,96
108,서울,2015-05-16,56
108,서울,2015-05-17,52
108,서울,2015-05-18,42
108,서울,2015-05-19,46
108,서울,2015-05-20,42
108,서울,2015-05-21,43
108,서울,2015-05-22,53
108,서울,2015-05-23,44
108,서울,2015-05-24,30
108,서울,2015-05-25,44
108,서울,2015-05-26,44
108,서울,2015-05-27,38
108,서울,2015-05-28,41
108,서울,2015-05-29,48
108,서울,2015-05-30,38
108,서울,2015-05-31,44
108,서울,2015-06-01,41
108,서울,2015-06-02,40
108,서울,2015-06-03,42
108,서울,2015-06-04,40
108,서울,2015-06-05,37
108,서울,2015-06-06,30
108,서울,2015-06-07,28
108,서울,2015-06-08,38
108,서울,2015-06-09,43
108,서울,2015-06-10,45
108,서울,2015-06-11,35
108,서울,2015-06-12,42
108,서울,2015-06-13,68
108,서울,2015-06-16,43
108,서울,2015-06-17,36
108,서울,2015-06-18,24
108,서울,2015-06-19,23
108,서울,2015-06-21,18
108,서울,2015-06-22,29
108,서울,2015-06-23,33
108,서울,2015-06-24,36
108,서울,2015-06-25,36
108,서울,2015-06-26,10
108,서울,2015-06-27,11
108,서울,2015-06-28,21
108,서울,2015-06-29,25
108,서울,2015-06-30,29
108,서울,2015-07-01,34
108,서울,2015-07-02,49
108,서울,2015-07-03,36
108,서울,2015-07-04,29
108,서울,2015-07-05,29
108,서울,2015-07-06,28
108,서울,2015-07-07,30
108,서울,2015-07-09,11
108,서울,2015-07-10,21
108,서울,2015-07-11,25
108,서울,2015-07-14,58
108,서울,2015-07-15,44
108,서울,2015-07-16,11
108,서울,2015-07-17,10
108,서울,2015-07-18,28
108,서울,2015-07-19,21
108,서울,2015-07-20,18
108,서울,2015-07-21,21
108,서울,2015-07-22,33
108,서울,2015-07-23,30
108,서울,2015-07-24,13
108,서울,2015-07-25,16
108,서울,2015-07-26,15
108,서울,2015-07-27,31
108,서울,2015-07-28,29
108,서울,2015-07-29,36
108,서울,2015-07-30,65
108,서울,2015-07-31,54
108,서울,2015-08-01,45
108,서울,2015-08-03,25
108,서울,2015-08-04,24
108,서울,2015-08-05,30
108,서울,2015-08-06,31
108,서울,2015-08-09,16
108,서울,2015-08-10,26
108,서울,2015-08-11,54
108,서울,2015-08-12,46
108,서울,2015-08-15,60
108,서울,2015-08-17,21
108,서울,2015-08-18,19
108,서울,2015-08-19,32
108,서울,2015-08-20,34
108,서울,2015-08-21,28
108,서울,2015-08-22,37
108,서울,2015-08-23,34
108,서울,2015-08-24,25
108,서울,2015-08-25,5
108,서울,2015-08-26,12
108,서울,2015-08-27,21
108,서울,2015-08-28,25
108,서울,2015-08-29,29
108,서울,2015-08-30,29
108,서울,2015-08-31,29
108,서울,2015-09-01,20
108,서울,2015-09-05,28
108,서울,2015-09-06,11
108,서울,2015-09-07,11
108,서울,2015-09-08,11
108,서울,2015-09-09,15
108,서울,2015-09-10,30
108,서울,2015-09-11,37
108,서울,2015-09-12,20
108,서울,2015-09-13,19
108,서울,2015-09-14,31
108,서울,2015-09-15,22
108,서울,2015-09-16,14
108,서울,2015-09-17,10
108,서울,2015-09-18,18
108,서울,2015-09-19,30
108,서울,2015-09-20,43
108,서울,2015-09-21,42
108,서울,2015-09-22,37
108,서울,2015-09-23,36
108,서울,2015-09-24,34
108,서울,2015-09-25,33
108,서울,2015-09-26,44
108,서울,2015-09-27,31
108,서울,2015-09-28,30
108,서울,2015-09-29,20
108,서울,2015-09-30,16
108,서울,2015-10-01,14
108,서울,2015-10-02,31
108,서울,2015-10-03,41
108,서울,2015-10-04,26
108,서울,2015-10-05,27
108,서울,2015-10-06,29
108,서울,2015-10-07,42
108,서울,2015-10-08,48
108,서울,2015-10-09,32
108,서울,2015-10-10,18
108,서울,2015-10-11,13
108,서울,2015-10-12,18
108,서울,2015-10-13,34
108,서울,2015-10-14,46
108,서울,2015-10-15,56
108,서울,2015-10-16,60
108,서울,2015-10-17,56
108,서울,2015-10-18,70
108,서울,2015-10-19,94
108,서울,2015-10-20,89
108,서울,2015-10-21,110
108,서울,2015-10-22,70
108,서울,2015-10-23,48
108,서울,2015-10-24,33
108,서울,2015-10-25,26
108,서울,2015-10-26,29
108,서울,2015-10-27,35
108,서울,2015-10-28,29
108,서울,2015-10-29,22
108,서울,2015-10-30,27
108,서울,2015-10-31,30
108,서울,2015-11-01,37
108,서울,2015-11-02,46
108,서울,2015-11-03,64
108,서울,2015-11-04,81
108,서울,2015-11-05,69
108,서울,2015-11-06,44
108,서울,2015-11-09,13
108,서울,2015-11-10,44
108,서울,2015-11-11,37
108,서울,2015-11-12,19
108,서울,2015-11-13,10
108,서울,2015-11-14,10
108,서울,2015-11-15,17
108,서울,2015-11-16,23
108,서울,2015-11-17,18
108,서울,2015-11-19,17
108,서울,2015-11-20,33
108,서울,2015-11-21,43
